               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0988,            0.017232,                   0,          0.00099206,             0.45965,           0.0014379,           0.0003527,            0.080372,            0.012286,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.068315,            0.014684,                   0,           0.0021175,             0.97957,             0.34369,              0.1197,            0.057139,            0.010679,                   0,            0.040294,           0.0066097,           0.0066097
                   2,            0.056287,            0.012874,                   0,             0.73272,             0.34014,             0.50884,             0.17292,            0.054279,           0.0085426,                   0,             0.01025,           0.0098991,           0.0098991
                   3,            0.054452,            0.011305,                   0,             0.62381,             0.55158,             0.57534,             0.18786,            0.050665,            0.008538,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.051401,           0.0093878,                   0,             0.59547,             0.55465,             0.56725,             0.19713,            0.054509,           0.0083875,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.050389,           0.0090153,                   0,             0.66581,             0.61798,             0.66212,             0.26675,            0.045999,           0.0072347,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.048901,           0.0082584,                   0,             0.69931,             0.65091,             0.71361,             0.32276,            0.042334,           0.0059454,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.04832,           0.0081872,                   0,             0.66209,             0.64964,             0.68671,             0.28685,            0.046312,           0.0054499,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.045696,           0.0078625,                   0,             0.74116,             0.71502,             0.79122,             0.35323,            0.039881,           0.0055343,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045673,           0.0074331,                   0,             0.73585,             0.70072,             0.77686,             0.36867,            0.038944,           0.0058036,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044344,           0.0077548,                   0,             0.74934,             0.66568,             0.74392,             0.35161,            0.040831,           0.0056463,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044059,           0.0074469,                   0,             0.78136,             0.68991,              0.7689,             0.37266,            0.040507,           0.0057503,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.043308,           0.0073055,                   0,             0.73127,             0.73442,             0.78417,             0.38219,            0.038942,           0.0052693,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.043196,           0.0069043,                   0,             0.65657,             0.50868,             0.55162,              0.2128,            0.055376,           0.0063245,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.042261,           0.0073314,                   0,             0.75045,             0.66701,             0.73784,             0.36856,            0.037897,           0.0057334,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.04161,           0.0073814,                   0,             0.74247,              0.6333,             0.72988,             0.33396,            0.041691,           0.0058184,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.041245,            0.007106,                   0,              0.7751,             0.74259,             0.81074,             0.42062,            0.036272,           0.0052477,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.041018,           0.0067424,                   0,             0.68942,             0.70991,             0.74016,             0.35472,            0.039185,           0.0054471,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.042246,           0.0069225,                   0,             0.80219,             0.71808,             0.82146,              0.4257,            0.036598,           0.0050514,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.040456,           0.0075036,                   0,             0.77942,               0.693,              0.7771,             0.39632,            0.035764,           0.0057814,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.039882,           0.0065848,                   0,             0.80843,             0.76609,             0.84309,             0.40623,             0.03708,           0.0048911,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.03977,           0.0072072,                   0,             0.76833,             0.78254,             0.85018,             0.40312,            0.038263,           0.0049019,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039128,           0.0066474,                   0,             0.79905,             0.77173,              0.8515,             0.44104,            0.034751,           0.0048284,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.039741,           0.0066647,                   0,             0.77175,              0.7149,             0.78113,             0.36017,            0.040724,           0.0054469,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.039509,           0.0069522,                   0,             0.78137,             0.77426,             0.83588,             0.42873,            0.035219,           0.0046917,                   0,            0.009241,            0.009241,            0.009241
                  25,              0.0387,           0.0066961,                   0,             0.81437,             0.76181,             0.84713,             0.44936,            0.034936,           0.0050652,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.038348,           0.0062578,                   0,             0.76103,             0.73517,             0.80146,             0.39332,            0.037513,           0.0050051,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.039198,           0.0070363,                   0,              0.8208,             0.79469,             0.86797,             0.46448,            0.034086,           0.0046777,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.039081,           0.0068822,                   0,             0.80502,             0.77528,             0.85851,             0.41936,            0.037109,           0.0046189,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.037718,           0.0064509,                   0,              0.7836,             0.71385,             0.78522,             0.32179,            0.042855,           0.0048297,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.03713,           0.0067674,                   0,             0.83482,             0.81001,             0.88949,             0.49796,            0.032663,           0.0043955,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.036425,           0.0066726,                   0,             0.83046,              0.7906,             0.86996,             0.48044,            0.033981,           0.0044943,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.037456,           0.0065812,                   0,             0.83929,             0.81001,             0.87964,             0.48112,            0.033312,           0.0045267,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.036041,           0.0065516,                   0,              0.8781,             0.81676,             0.90081,             0.48936,            0.032553,           0.0042624,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.035928,           0.0061952,                   0,              0.8226,              0.8427,             0.90733,             0.51323,            0.031604,            0.004161,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.036705,           0.0064564,                   0,             0.82641,             0.84611,             0.90544,             0.49719,            0.032124,           0.0042744,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.03602,            0.006228,                   0,             0.84258,             0.81512,             0.90755,             0.51465,            0.031106,           0.0042331,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.035569,           0.0065168,                   0,             0.83522,             0.83877,             0.89964,             0.49629,            0.032178,           0.0043361,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.036588,           0.0062083,                   0,             0.83023,             0.81512,             0.88306,             0.49763,            0.031391,           0.0044482,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.036057,           0.0064293,                   0,             0.84574,              0.8049,             0.88855,             0.48961,            0.033172,           0.0043816,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.03513,            0.006394,                   0,             0.85956,             0.84474,             0.92188,             0.54515,             0.02986,           0.0040443,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.035025,           0.0063596,                   0,             0.85329,             0.81614,             0.89714,             0.49579,            0.032494,           0.0044435,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.034142,           0.0063327,                   0,             0.82651,             0.78345,             0.87146,              0.4938,            0.032219,           0.0045894,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.034702,           0.0059011,                   0,             0.84071,             0.84372,             0.91255,             0.53399,            0.030198,           0.0042794,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.035017,            0.006134,                   0,             0.83819,             0.79897,             0.89149,             0.48645,            0.033572,           0.0043371,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.034359,           0.0064269,                   0,             0.82794,             0.83657,             0.90203,               0.531,            0.029814,           0.0042319,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.033332,           0.0055686,                   0,             0.83426,             0.84319,             0.90957,               0.547,            0.029132,           0.0041138,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03415,           0.0061693,                   0,             0.85399,             0.83641,             0.91023,              0.5469,            0.028656,           0.0041832,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.033214,           0.0058377,                   0,             0.83853,             0.86461,             0.92302,             0.54061,            0.029728,           0.0041841,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.033047,           0.0062833,                   0,             0.85454,             0.83657,             0.90646,             0.51237,            0.031159,           0.0042311,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.033217,           0.0056074,                   0,             0.83991,             0.86517,             0.91946,             0.53965,            0.029281,           0.0040291,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.034091,           0.0058565,                   0,              0.8358,             0.83707,             0.90728,             0.54322,            0.030033,           0.0042656,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.033496,           0.0054001,                   0,             0.85132,             0.86721,             0.92528,             0.57106,            0.028057,           0.0038739,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032991,           0.0058109,                   0,              0.8598,             0.83759,             0.89719,             0.48901,            0.033477,           0.0039971,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.03316,            0.005856,                   0,             0.86077,              0.8907,             0.93446,             0.55911,            0.028202,           0.0038113,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.031513,            0.005561,                   0,             0.88136,             0.86507,             0.93742,             0.59557,            0.027031,           0.0040218,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031844,           0.0058482,                   0,             0.89715,             0.84576,             0.93896,             0.59928,            0.026685,           0.0038146,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.031908,           0.0056131,                   0,             0.85457,             0.88355,             0.93002,             0.57851,            0.027239,           0.0040541,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.03203,           0.0057041,                   0,             0.86059,             0.88275,             0.93189,              0.5757,            0.027919,            0.003922,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.03154,           0.0057522,                   0,             0.87526,             0.89377,             0.94834,              0.6113,            0.026517,           0.0036916,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.031548,           0.0058362,                   0,             0.86463,             0.89173,             0.94228,             0.60599,            0.026555,           0.0036908,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.030818,           0.0055732,                   0,             0.88332,             0.87028,             0.93841,             0.57428,              0.0282,           0.0038262,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.030261,           0.0057585,                   0,             0.87671,             0.89344,             0.94362,             0.61657,            0.026588,            0.003696,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.030625,           0.0054764,                   0,               0.904,             0.86108,              0.9488,             0.62034,            0.025568,            0.003653,                   0,            0.007954,            0.007954,            0.007954
