x,y,z
379259.75529483514,4699480.676002578,1.0
379263.53601081733,4699477.437216091,1.0
379264.1677141013,4699477.5629396215,1.0
379258.4898477347,4699476.027198234,1.0
379261.5824652115,4699480.3305916535,1.0
379264.8491318236,4699479.40094437,1.0
379260.8340260163,4699476.007724273,1.0
379262.48703343264,4699481.562845062,1.0
379259.038849961,4699475.245443857,1.0
379259.5481302721,4699477.974946276,1.0
379259.52055771474,4699478.6034852415,1.0
379260.52989336825,4699478.913271788,1.0
379261.16434737016,4699478.064740989,1.0
379264.2991285711,4699477.784297163,1.0
379263.76562948927,4699477.244232557,1.0
379259.1439439907,4699477.677732646,1.0
379260.1857514143,4699479.74142918,1.0
379259.2035853144,4699479.001754868,1.0
379259.3085866532,4699478.696937742,1.0
379258.95571824955,4699477.358053301,1.0
379260.4542929219,4699480.023956321,1.0
379261.31403264165,4699481.280834259,1.0
379261.63776044035,4699480.183114435,1.0
379263.2388454554,4699481.281578332,1.0
379264.3944529846,4699477.698993792,1.0
379262.931281828,4699477.532048823,1.0
379259.10617628164,4699478.991425556,1.0
379258.3741014016,4699477.206853117,1.0
379262.9683528547,4699477.998895329,1.0
379262.88271739637,4699478.610150239,1.0
379262.4896859255,4699481.243942624,1.0
379263.86022427946,4699477.388931508,1.0
379262.7468434301,4699481.511957445,1.0
379262.1105203437,4699479.058318052,1.0
379263.724267262,4699478.828067232,1.0
379261.2748627904,4699476.280882802,1.0
379257.2933715106,4699478.424602911,1.0
379260.2553999004,4699478.0179538205,1.0
379259.09633716475,4699476.988971927,1.0
379262.3551882292,4699480.347286098,1.0
379264.76458796544,4699478.295868506,1.0
379262.35032992886,4699479.030093173,1.0
379264.95746773534,4699477.82088522,1.0
379260.8398951868,4699479.458066059,1.0
379261.5591777592,4699477.337147693,1.0
379259.7555295056,4699477.8124660775,1.0
379258.98322906526,4699476.93525821,1.0
379258.6842893308,4699479.271067867,1.0
379258.97964547836,4699477.134600342,1.0
379263.8945891445,4699478.679590448,1.0
379258.53304147284,4699479.4318561135,1.0
379263.4535981846,4699481.830091638,1.0
379262.7428149503,4699480.925473265,1.0
379261.3618647873,4699480.5783360265,1.0
379265.32324252534,4699477.93427325,1.0
379259.0812908132,4699476.618866461,1.0
379263.346449945,4699479.25339965,1.0
379256.39056324825,4699473.814255468,1.0
379262.72508842096,4699478.410241936,1.0
379262.064440561,4699476.279730604,1.0
379260.1962170554,4699477.43417892,1.0
379260.6133065611,4699477.13644259,1.0
379261.16090126877,4699480.903302157,1.0
379263.2193504718,4699481.793452911,1.0
379259.6835120794,4699477.311562333,1.0
379263.51566157886,4699481.361439687,1.0
379262.39872800384,4699478.709902025,1.0
379263.54177468084,4699479.872423595,1.0
379259.27522381884,4699478.378384007,1.0
379259.08528999996,4699476.336912684,1.0
379260.13934137323,4699479.652365603,1.0
379261.6233474435,4699479.998127425,1.0
379259.9176820084,4699475.502785763,1.0
379261.82282815885,4699479.847094226,1.0
379260.97315788077,4699477.95194699,1.0
379262.5295085623,4699479.646594239,1.0
379258.6516489838,4699477.687916142,1.0
379261.2332582366,4699476.398649065,1.0
379262.5950086483,4699476.914009899,1.0
379256.3327052562,4699477.513904067,1.0
379264.0783279129,4699480.887823562,1.0
379263.1432031025,4699478.88723604,1.0
379259.0697818642,4699478.853219313,1.0
379258.79758844775,4699476.80687308,1.0
379259.4616326578,4699479.009303645,1.0
379257.958044774,4699476.759746076,1.0
379261.0950444044,4699481.047937155,1.0
379260.24113925966,4699479.394986143,1.0
379259.92166603846,4699480.690434633,1.0
379260.46135987254,4699477.863869182,1.0
379257.7909471707,4699478.009188301,1.0
379257.70028962335,4699477.480813974,1.0
379258.8867262328,4699478.386591665,1.0
379261.2830858069,4699477.866083075,1.0
379262.54801167006,4699480.327211438,1.0
379262.3701909876,4699480.7509668255,1.0
379264.4764371674,4699478.217372476,1.0
379258.8078513495,4699477.24596757,1.0
379262.3893487475,4699476.655218493,1.0
379263.8945661842,4699480.254589265,1.0
379260.1873895941,4699479.33306425,1.0
379263.3684105879,4699477.813529735,1.0
379263.40955203184,4699477.356987412,1.0
379257.65494567034,4699477.0990005275,1.0
379259.38537922536,4699478.5804461185,1.0
379264.4599692877,4699480.803288288,1.0
379264.0956355089,4699477.75482512,1.0
379263.0986526931,4699478.613764796,1.0
379264.4885050218,4699477.582433786,1.0
379257.66231949657,4699479.273604198,1.0
379260.82532374887,4699475.773334241,1.0
379262.9467183638,4699478.793088507,1.0
379261.2085584061,4699477.819383412,1.0
379259.18493818707,4699478.848039446,1.0
379259.79173245555,4699477.73066032,1.0
379258.6398858527,4699477.530039331,1.0
379264.65805922745,4699478.270409427,1.0
379262.89243567764,4699481.36292561,1.0
379262.8791314538,4699478.251580674,1.0
379259.90070083254,4699478.400422421,1.0
379261.03430716565,4699481.110174756,1.0
379258.7795170093,4699480.000658933,1.0
379262.17493504495,4699481.304125985,1.0
379263.0017056096,4699477.489100822,1.0
379262.9521380811,4699479.073726145,1.0
379259.3696049571,4699476.563373143,1.0
379261.4366996932,4699477.593092356,1.0
379261.0725238077,4699476.393939658,1.0
379256.97577973787,4699478.896741602,1.0
379260.1402465829,4699476.229931278,1.0
379264.0590076283,4699478.034694817,1.0
379259.5557501081,4699478.440649206,1.0
379262.3367166724,4699481.790383234,1.0
379263.275345952,4699477.820539251,1.0
379258.7818907102,4699477.621001226,1.0
379263.0845367793,4699480.754753758,1.0
379264.5601682578,4699478.578068288,1.0
379258.4871422466,4699477.238805441,1.0
379262.8484866115,4699478.52197656,1.0
379260.6631867631,4699478.764991192,1.0
379263.50306036964,4699477.833692093,1.0
379261.40656329494,4699478.57313991,1.0
379260.03799676645,4699476.609310045,1.0
379259.01820679347,4699477.255273959,1.0
379260.097354456,4699477.464033943,1.0
379265.1249598459,4699479.065184462,1.0
379256.8188224104,4699478.379784073,1.0
379260.096780403,4699477.339777157,1.0
379263.9759240568,4699478.612031245,1.0
379260.67447618465,4699477.347850059,1.0
379262.2180143713,4699476.542579022,1.0
379262.28509003797,4699479.202535664,1.0
379261.7732982734,4699477.480571062,1.0
379259.0682157287,4699479.640935509,1.0
379259.8915691389,4699477.682890968,1.0
379260.65264062147,4699475.859773006,1.0
379262.3958087607,4699476.527510739,1.0
379259.72584569943,4699478.228504665,1.0
379265.4409246158,4699478.578488284,1.0
379263.3454556303,4699477.187930243,1.0
379263.09411231324,4699481.366899083,1.0
379259.0947883952,4699477.201213134,1.0
379263.79530339054,4699479.005322417,1.0
379261.4213134687,4699477.761354035,1.0
379261.993379808,4699478.960056554,1.0
379265.16445216764,4699478.856116352,1.0
379264.01862308953,4699480.162059582,1.0
379261.1024663239,4699479.421486396,1.0
379263.2353880103,4699478.843905906,1.0
379264.4140080029,4699478.078102196,1.0
379264.23297454324,4699479.46977125,1.0
