Photo Numb,X [m],Y [m],Alt. ASL [,Alt. AGL [,xcoord,ycoord
1,379245.74,4699661.77,287.26,2,-76.4682151293225,42.439881047829
2,379246.71,4699661.27,287.33,1.96,-76.4682031724888,42.4398767265494
3,379247.69,4699660.78,287.4,1.95,-76.4681912156568,42.4398724052686
4,379248.66,4699660.28,287.47,1.91,-76.4681792588263,42.4398680839865
5,379249.64,4699659.78,287.54,1.93,-76.4681673019975,42.4398637627031
6,379250.61,4699659.29,287.61,1.91,-76.4681553451703,42.4398594414184
7,379251.59,4699658.79,287.68,1.95,-76.4681433883448,42.4398551201325
8,379252.56,4699658.29,287.76,1.9,-76.4681314315208,42.4398507988453
9,379253.54,4699657.8,287.83,1.89,-76.4681194746985,42.4398464775568
10,379254.51,4699657.3,287.9,1.92,-76.4681075178777,42.439842156267
11,379255.49,4699656.8,287.97,1.98,-76.4680955610586,42.439837834976
12,379256.46,4699656.31,288.04,2,-76.4680836042412,42.4398335136836
13,379257.44,4699655.81,288.11,1.99,-76.4680716474253,42.4398291923901
14,379258.41,4699655.31,288.18,1.93,-76.468059690611,42.4398248710952
15,379259.39,4699654.82,288.25,2.01,-76.4680477337984,42.439820549799
16,379260.36,4699654.32,288.32,2,-76.4680357769874,42.4398162285016
17,379261.34,4699653.82,288.39,2.03,-76.468023820178,42.4398119072029
18,379262.31,4699653.33,288.46,2.04,-76.4680118633702,42.4398075859029
19,379263.29,4699652.83,288.53,2,-76.467999906564,42.4398032646017
20,379262.68,4699651.64,288.4,2,-76.4680070389064,42.4397924374996
21,379261.71,4699652.13,288.34,1.96,-76.4680189957109,42.4397967588001
22,379260.73,4699652.63,288.27,1.95,-76.4680309525171,42.4398010800994
23,379259.76,4699653.13,288.21,1.95,-76.4680429093249,42.4398054013974
24,379258.78,4699653.62,288.14,1.97,-76.4680548661343,42.4398097226941
25,379257.81,4699654.12,288.08,1.98,-76.4680668229453,42.4398140439895
26,379256.83,4699654.62,288.01,2.03,-76.468078779758,42.4398183652837
27,379255.86,4699655.11,287.95,2,-76.4680907365723,42.4398226865766
28,379254.88,4699655.61,287.88,1.97,-76.4681026933881,42.4398270078682
29,379253.9,4699656.11,287.82,1.94,-76.4681146502056,42.4398313291585
30,379252.93,4699656.6,287.75,1.98,-76.4681266070247,42.4398356504476
31,379251.95,4699657.1,287.69,1.99,-76.4681385638455,42.4398399717354
32,379250.98,4699657.6,287.62,2.01,-76.4681505206678,42.4398442930219
33,379250,4699658.1,287.56,1.91,-76.4681624774918,42.4398486143071
34,379249.03,4699658.59,287.49,1.92,-76.4681744343174,42.439852935591
35,379248.05,4699659.09,287.43,1.89,-76.4681863911446,42.4398572568737
36,379247.08,4699659.59,287.36,1.95,-76.4681983479734,42.4398615781551
37,379246.1,4699660.08,287.3,1.96,-76.4682103048038,42.4398658994352
38,379245.13,4699660.58,287.23,2,-76.4682222616358,42.4398702207141
39,379244.52,4699659.39,287.1,2,-76.4682293939468,42.4398593935988
40,379245.5,4699658.89,287.18,2.05,-76.4682174371164,42.4398550723206
41,379246.47,4699658.39,287.25,1.99,-76.4682054802876,42.4398507510412
42,379247.45,4699657.9,287.32,1.97,-76.4681935234604,42.4398464297605
43,379248.42,4699657.4,287.4,1.93,-76.4681815666348,42.4398421084786
44,379249.4,4699656.9,287.47,1.94,-76.4681696098108,42.4398377871953
45,379250.37,4699656.41,287.54,1.94,-76.4681576529884,42.4398334659108
46,379251.35,4699655.91,287.62,1.98,-76.4681456961677,42.439829144625
47,379252.32,4699655.41,287.69,1.97,-76.4681337393486,42.439824823338
48,379253.3,4699654.92,287.76,2,-76.4681217825311,42.4398205020496
49,379254.27,4699654.42,287.84,1.98,-76.4681098257152,42.43981618076
50,379255.25,4699653.92,287.91,2.01,-76.4680978689009,42.4398118594691
51,379256.22,4699653.43,287.98,2,-76.4680859120883,42.4398075381769
52,379257.2,4699652.93,288.06,1.98,-76.4680739552772,42.4398032168835
53,379258.17,4699652.43,288.13,1.97,-76.4680619984678,42.4397988955887
54,379259.15,4699651.93,288.2,1.94,-76.46805004166,42.4397945742927
55,379260.12,4699651.44,288.28,1.94,-76.4680380848539,42.4397902529955
56,379261.1,4699650.94,288.35,1.95,-76.4680261280493,42.4397859316969
57,379262.07,4699650.44,288.42,2,-76.4680141712463,42.4397816103971
