Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379246.11,4699662.3,288.41,3,0,0,330,-76.4682107239587,42.4398858827776
"0001","00002",379247.06,4699661.76,288.49,3,0,0,330,-76.4681990888437,42.4398811039136
"0001","00003",379248,4699661.21,288.57,2.96,0,0,330,-76.4681874537303,42.4398763250484
"0001","00004",379248.95,4699660.66,288.65,3.08,0,0,330,-76.4681758186188,42.439871546182
"0001","00005",379249.9,4699660.11,288.73,3.07,0,0,330,-76.4681641835089,42.4398667673143
"0001","00006",379250.85,4699659.57,288.81,3.11,0,0,330,-76.4681525484009,42.4398619884455
"0001","00007",379251.79,4699659.02,288.89,3.1,0,0,330,-76.4681409132945,42.4398572095754
"0001","00008",379252.74,4699658.47,288.96,3.11,0,0,330,-76.4681292781899,42.4398524307041
"0001","00009",379253.69,4699657.92,289.01,3.07,0,0,330,-76.4681176430871,42.4398476518317
"0001","00010",379254.64,4699657.38,289.02,3.04,0,0,330,-76.468106007986,42.4398428729579
"0001","00011",379255.59,4699656.83,289.03,3.05,0,0,330,-76.4680943728866,42.439838094083
"0001","00012",379256.53,4699656.28,289.07,3.03,0,0,330,-76.468082737789,42.4398333152069
"0001","00013",379257.48,4699655.74,289.13,3.02,0,0,330,-76.4680711026932,42.4398285363296
"0001","00014",379258.43,4699655.19,289.2,2.95,0,0,330,-76.4680594675991,42.439823757451
"0001","00015",379259.38,4699654.64,289.26,3.02,0,0,330,-76.4680478325067,42.4398189785713
"0001","00016",379260.32,4699654.09,289.33,3.01,0,0,330,-76.4680361974161,42.4398141996903
"0001","00017",379261.27,4699653.55,289.4,3.04,0,0,330,-76.4680245623272,42.4398094208081
"0001","00018",379262.22,4699653,289.46,3.07,0,0,330,-76.4680129272401,42.4398046419247
"0001","00019",379263.17,4699652.45,289.53,3,0,0,330,-76.4680012921547,42.4397998630401
"0002","00038",379245.37,4699661.03,288.26,3,0,0,150,-76.4682193661646,42.4398743389705
"0002","00037",379246.32,4699660.49,288.33,2.99,0,0,150,-76.4682077310511,42.4398695601074
"0002","00036",379247.27,4699659.94,288.39,2.97,0,0,150,-76.4681960959393,42.439864781243
"0002","00035",379248.22,4699659.39,288.45,2.92,0,0,150,-76.4681844608292,42.4398600023775
"0002","00034",379249.17,4699658.84,288.52,2.94,0,0,150,-76.4681728257209,42.4398552235107
"0002","00033",379250.11,4699658.3,288.58,2.93,0,0,150,-76.4681611906144,42.4398504446427
"0002","00032",379251.06,4699657.75,288.64,2.95,0,0,150,-76.4681495555096,42.4398456657734
"0002","00031",379252.01,4699657.2,288.71,2.89,0,0,150,-76.4681379204065,42.439840886903
"0002","00030",379252.96,4699656.66,288.77,3,0,0,150,-76.4681262853052,42.4398361080314
"0002","00029",379253.9,4699656.11,288.83,2.96,0,0,150,-76.4681146502056,42.4398313291585
