latitude,longitude,altitude(m) 
42.4398858827776,-76.4682107239587,3
42.4398811039136,-76.4681990888437,3
42.4398763250484,-76.4681874537303,2.96
42.439871546182,-76.4681758186188,3.08
42.4398667673143,-76.4681641835089,3.07
42.4398619884455,-76.4681525484009,3.11
42.4398572095754,-76.4681409132945,3.1
42.4398524307041,-76.4681292781899,3.11
42.4398476518317,-76.4681176430871,3.07
42.4398428729579,-76.468106007986,3.04
42.439838094083,-76.4680943728866,3.05
42.4398333152069,-76.468082737789,3.03
42.4398285363296,-76.4680711026932,3.02
42.439823757451,-76.4680594675991,2.95
42.4398189785713,-76.4680478325067,3.02
42.4398141996903,-76.4680361974161,3.01
42.4398094208081,-76.4680245623272,3.04
42.4398046419247,-76.4680129272401,3.07
42.4397998630401,-76.4680012921547,3
42.4398743389705,-76.4682193661646,3
42.4398695601074,-76.4682077310511,2.99
42.439864781243,-76.4681960959393,2.97
42.4398600023775,-76.4681844608292,2.92
42.4398552235107,-76.4681728257209,2.94
42.4398504446427,-76.4681611906144,2.93
42.4398456657734,-76.4681495555096,2.95
42.439840886903,-76.4681379204065,2.89
42.4398361080314,-76.4681262853052,3
42.4398313291585,-76.4681146502056,2.96
42.4398265502845,-76.4681030151078,2.99
42.4398217714092,-76.4680913800117,3.01
42.4398169925327,-76.4680797449174,3.04
42.439812213655,-76.4680681098248,3
42.4398074347761,-76.468056474734,2.98
42.4398026558959,-76.4680448396449,2.96
42.4397978770146,-76.4680332045575,2.95
42.4397930981321,-76.4680215694719,2.95
42.4397883192483,-76.4680099343881,3
42.4398627951629,-76.4682280083673,3
42.4398580163006,-76.4682163732553,2.97
42.4398532374371,-76.4682047381451,2.99
42.4398484585723,-76.4681931030366,2.94
42.4398436797064,-76.4681814679298,2.92
42.4398389008392,-76.4681698328248,2.9
42.4398341219709,-76.4681581977215,2.93
42.4398293431013,-76.46814656262,2.96
42.4398245642305,-76.4681349275202,2.95
42.4398197853585,-76.4681232924221,2.98
42.4398150064852,-76.4681116573258,2.96
42.4398102276108,-76.4681000222313,2.99
42.4398054487352,-76.4680883871385,2.97
42.4398006698583,-76.4680767520474,3.06
42.4397958909802,-76.4680651169581,3.03
42.439791112101,-76.4680534818705,3
42.4397863332205,-76.4680418467847,2.98
42.4397815543388,-76.4680302117007,2.95
42.4397767754558,-76.4680185766183,3
