Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379248.16,4699475.33,286.73,2,0,0,31,-76.4681464735293,42.4382028964532
"0001","00002",379248.79,4699475.71,286.74,2.01,0,0,31,-76.4681389512259,42.438206376908
"0001","00003",379249.41,4699476.08,286.76,2.03,0,0,31,-76.4681314289216,42.4382098573623
"0001","00004",379250.04,4699476.46,286.77,1.99,0,0,31,-76.4681239066164,42.4382133378161
"0001","00005",379250.66,4699476.83,286.79,2,0,0,31,-76.4681163843104,42.4382168182695
"0001","00006",379251.29,4699477.21,286.8,2.02,0,0,31,-76.4681088620036,42.4382202987223
"0001","00007",379251.91,4699477.59,286.81,2.04,0,0,31,-76.4681013396959,42.4382237791747
"0001","00008",379252.54,4699477.96,286.83,2.02,0,0,31,-76.4680938173874,42.4382272596266
"0001","00009",379253.16,4699478.34,286.84,2.02,0,0,31,-76.4680862950781,42.438230740078
"0001","00010",379253.79,4699478.71,286.85,2.03,0,0,31,-76.4680787727679,42.4382342205289
"0001","00011",379254.41,4699479.09,286.87,2.04,0,0,31,-76.4680712504569,42.4382377009793
"0001","00012",379255.04,4699479.46,286.88,2.01,0,0,31,-76.468063728145,42.4382411814293
"0001","00013",379255.66,4699479.84,286.9,2.02,0,0,31,-76.4680562058323,42.4382446618787
"0001","00014",379256.29,4699480.22,286.91,2.01,0,0,31,-76.4680486835187,42.4382481423277
"0001","00015",379256.92,4699480.59,286.92,2.02,0,0,31,-76.4680411612043,42.4382516227762
"0001","00016",379257.54,4699480.97,286.94,1.99,0,0,31,-76.4680336388891,42.4382551032243
"0001","00017",379258.17,4699481.34,286.95,2,0,0,31,-76.468026116573,42.4382585836718
"0001","00018",379258.79,4699481.72,286.97,2.02,0,0,31,-76.4680185942561,42.4382620641189
"0001","00019",379259.42,4699482.09,286.98,2,0,0,31,-76.4680110719383,42.4382655445654
"0001","00020",379260.04,4699482.47,286.99,1.98,0,0,31,-76.4680035496197,42.4382690250115
"0001","00021",379260.67,4699482.85,287.01,2,0,0,31,-76.4679960273003,42.4382725054571
"0001","00022",379261.29,4699483.22,287.02,2.02,0,0,31,-76.46798850498,42.4382759859022
"0001","00023",379261.92,4699483.6,287.04,2.03,0,0,31,-76.4679809826588,42.4382794663469
"0001","00024",379262.54,4699483.97,287.05,2.01,0,0,31,-76.4679734603369,42.438282946791
"0001","00025",379263.17,4699484.35,287.06,2.03,0,0,31,-76.4679659380141,42.4382864272347
"0001","00026",379263.79,4699484.73,287.08,2.05,0,0,31,-76.4679584156904,42.4382899076779
