Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379249.14,4699474.01,286.8,2,0,0,27,-76.4681343323838,42.4381911632015
"0001","00002",379249.79,4699474.34,286.82,2.02,0,0,27,-76.4681265006348,42.4381942465025
"0001","00003",379250.44,4699474.67,286.83,2,0,0,27,-76.468118668885,42.438197329803
"0001","00004",379251.09,4699475,286.85,2.02,0,0,27,-76.4681108371344,42.438200413103
"0001","00005",379251.74,4699475.34,286.87,2.03,0,0,27,-76.4681030053831,42.4382034964025
"0001","00006",379252.39,4699475.67,286.88,2.01,0,0,27,-76.468095173631,42.4382065797015
"0001","00007",379253.04,4699476,286.9,1.98,0,0,27,-76.4680873418781,42.4382096629999
"0001","00008",379253.69,4699476.33,286.92,2.02,0,0,27,-76.4680795101244,42.4382127462978
"0001","00009",379254.34,4699476.66,286.93,2,0,0,27,-76.4680716783699,42.4382158295952
"0001","00010",379254.99,4699476.99,286.95,2.02,0,0,27,-76.4680638466147,42.438218912892
"0001","00011",379255.64,4699477.32,286.97,2.03,0,0,27,-76.4680560148587,42.4382219961884
"0001","00012",379256.29,4699477.65,286.98,1.99,0,0,27,-76.4680481831019,42.4382250794842
"0001","00013",379256.94,4699477.99,287,2.01,0,0,27,-76.4680403513443,42.4382281627795
"0001","00014",379257.59,4699478.32,287.02,2.02,0,0,27,-76.468032519586,42.4382312460742
"0001","00015",379258.24,4699478.65,287.03,1.99,0,0,27,-76.4680246878269,42.4382343293684
"0001","00016",379258.89,4699478.98,287.05,2,0,0,27,-76.468016856067,42.4382374126621
"0001","00017",379259.54,4699479.31,287.07,1.99,0,0,27,-76.4680090243063,42.4382404959553
"0001","00018",379260.19,4699479.64,287.08,1.98,0,0,27,-76.4680011925448,42.438243579248
"0001","00019",379260.84,4699479.97,287.1,1.99,0,0,27,-76.4679933607826,42.4382466625401
"0001","00020",379261.49,4699480.3,287.12,2.02,0,0,27,-76.4679855290195,42.4382497458317
