Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379248.79,4699473.81,287.78,3,0,0,28,-76.4681384596719,42.438189282066
"0001","00002",379249.76,4699474.32,287.8,3,0,0,28,-76.4681268228091,42.4381940581779
"0001","00003",379250.73,4699474.84,287.82,2.99,0,0,28,-76.4681151859445,42.4381988342887
"0001","00004",379251.69,4699475.35,287.85,3.01,0,0,28,-76.4681035490782,42.4382036103983
"0001","00005",379252.66,4699475.86,287.87,3,0,0,28,-76.4680919122101,42.4382083865067
"0001","00006",379253.62,4699476.38,287.89,3,0,0,28,-76.4680802753402,42.438213162614
"0001","00007",379254.59,4699476.89,287.92,2.99,0,0,28,-76.4680686384684,42.4382179387201
"0001","00008",379255.56,4699477.4,287.94,3,0,0,28,-76.4680570015949,42.438222714825
"0001","00009",379256.52,4699477.92,287.96,2.97,0,0,28,-76.4680453647196,42.4382274909289
"0001","00010",379257.49,4699478.43,287.99,2.99,0,0,28,-76.4680337278425,42.4382322670315
"0001","00011",379258.46,4699478.95,288.01,2.96,0,0,28,-76.4680220909637,42.438237043133
"0001","00012",379259.42,4699479.46,288.03,2.95,0,0,28,-76.468010454083,42.4382418192333
"0001","00013",379260.39,4699479.97,288.06,2.95,0,0,28,-76.4679988172005,42.4382465953325
"0001","00014",379261.36,4699480.49,288.08,2.99,0,0,28,-76.4679871803163,42.4382513714305
"0001","00015",379262.32,4699481,288.1,3.02,0,0,28,-76.4679755434302,42.4382561475273
"0001","00016",379263.29,4699481.51,288.13,2.99,0,0,28,-76.4679639065424,42.438260923623
"0001","00017",379264.25,4699482.03,288.15,3,0,0,28,-76.4679522696528,42.4382656997176
"0002","00034",379249.41,4699472.65,287.82,3,0,0,208,-76.4681307209036,42.4381789369537
"0002","00033",379250.38,4699473.16,287.85,3,0,0,208,-76.4681190840421,42.4381837130648
"0002","00032",379251.34,4699473.68,287.87,2.98,0,0,208,-76.4681074471789,42.4381884891748
"0002","00031",379252.31,4699474.19,287.89,3,0,0,208,-76.4680958103138,42.4381932652836
"0002","00030",379253.28,4699474.7,287.92,2.98,0,0,208,-76.4680841734469,42.4381980413912
"0002","00029",379254.24,4699475.22,287.94,3,0,0,208,-76.4680725365783,42.4382028174977
"0002","00028",379255.21,4699475.73,287.96,2.97,0,0,208,-76.4680608997079,42.438207593603
"0002","00027",379256.17,4699476.24,287.99,2.99,0,0,208,-76.4680492628356,42.4382123697072
"0002","00026",379257.14,4699476.76,288.01,2.97,0,0,208,-76.4680376259616,42.4382171458102
"0002","00025",379258.11,4699477.27,288.04,2.98,0,0,208,-76.4680259890858,42.438221921912
"0002","00024",379259.07,4699477.79,288.06,2.95,0,0,208,-76.4680143522082,42.4382266980127
"0002","00023",379260.04,4699478.3,288.08,2.95,0,0,208,-76.4680027153288,42.4382314741122
"0002","00022",379261.01,4699478.81,288.11,2.94,0,0,208,-76.4679910784477,42.4382362502106
"0002","00021",379261.97,4699479.33,288.13,3.01,0,0,208,-76.4679794415647,42.4382410263078
"0002","00020",379262.94,4699479.84,288.15,3,0,0,208,-76.4679678046799,42.4382458024038
"0002","00019",379263.9,4699480.35,288.18,3.03,0,0,208,-76.4679561677934,42.4382505784987
"0002","00018",379264.87,4699480.87,288.2,3,0,0,208,-76.467944530905,42.4382553545925
"0003","00035",379250.03,4699471.49,287.86,3,0,0,28,-76.4681229821379,42.4381685918408
"0003","00036",379250.99,4699472,287.89,3.02,0,0,28,-76.4681113452777,42.4381733679511
"0003","00037",379251.96,4699472.52,287.91,3.01,0,0,28,-76.4680997084157,42.4381781440603
"0003","00038",379252.93,4699473.03,287.94,3.04,0,0,28,-76.4680880715519,42.4381829201683
"0003","00039",379253.89,4699473.54,287.97,3.03,0,0,28,-76.4680764346864,42.4381876962751
"0003","00040",379254.86,4699474.06,287.99,3.02,0,0,28,-76.468064797819,42.4381924723808
"0003","00041",379255.82,4699474.57,288.02,3.01,0,0,28,-76.4680531609499,42.4381972484853
"0003","00042",379256.79,4699475.08,288.04,3.03,0,0,28,-76.4680415240789,42.4382020245887
"0003","00043",379257.76,4699475.6,288.07,3.01,0,0,28,-76.4680298872062,42.4382068006909
"0003","00044",379258.72,4699476.11,288.1,3.02,0,0,28,-76.4680182503317,42.4382115767919
"0003","00045",379259.69,4699476.63,288.12,2.98,0,0,28,-76.4680066134554,42.4382163528918
"0003","00046",379260.66,4699477.14,288.15,2.97,0,0,28,-76.4679949765773,42.4382211289905
"0003","00047",379261.62,4699477.65,288.17,2.97,0,0,28,-76.4679833396974,42.4382259050881
"0003","00048",379262.59,4699478.17,288.2,3.02,0,0,28,-76.4679717028157,42.4382306811845
"0003","00049",379263.55,4699478.68,288.23,3.04,0,0,28,-76.4679600659322,42.4382354572798
"0003","00050",379264.52,4699479.2,288.25,3.05,0,0,28,-76.4679484290469,42.4382402333739
"0003","00051",379265.49,4699479.71,288.28,3,0,0,28,-76.4679367921599,42.4382450094668
"0004","00068",379250.64,4699470.33,287.81,3,0,0,208,-76.4681152433748,42.4381582467273
"0004","00067",379251.61,4699470.84,287.84,3.01,0,0,208,-76.4681036065159,42.4381630228369
"0004","00066",379252.58,4699471.36,287.88,3,0,0,208,-76.4680919696552,42.4381677989452
"0004","00065",379253.54,4699471.87,287.91,3.02,0,0,208,-76.4680803327927,42.4381725750524
"0004","00064",379254.51,4699472.38,287.94,3,0,0,208,-76.4680686959284,42.4381773511585
"0004","00063",379255.47,4699472.9,287.97,2.98,0,0,208,-76.4680570590623,42.4381821272633
"0004","00062",379256.44,4699473.41,288,2.97,0,0,208,-76.4680454221945,42.4381869033671
"0004","00061",379257.41,4699473.93,288.03,2.99,0,0,208,-76.4680337853248,42.4381916794696
"0004","00060",379258.37,4699474.44,288.06,2.94,0,0,208,-76.4680221484534,42.438196455571
"0004","00059",379259.34,4699474.95,288.09,2.93,0,0,208,-76.4680105115801,42.4382012316713
"0004","00058",379260.31,4699475.47,288.12,2.91,0,0,208,-76.4679988747051,42.4382060077704
"0004","00057",379261.27,4699475.98,288.16,2.91,0,0,208,-76.4679872378283,42.4382107838683
"0004","00056",379262.24,4699476.49,288.19,2.95,0,0,208,-76.4679756009497,42.4382155599651
"0004","00055",379263.21,4699477.01,288.22,2.99,0,0,208,-76.4679639640693,42.4382203360607
"0004","00054",379264.17,4699477.52,288.25,3,0,0,208,-76.4679523271871,42.4382251121551
"0004","00053",379265.14,4699478.04,288.28,3,0,0,208,-76.4679406903031,42.4382298882484
"0004","00052",379266.1,4699478.55,288.31,3,0,0,208,-76.4679290534173,42.4382346643406
