latitude,longitude,altitude(m) 
42.4381896215507,-76.468138248258,2
42.4381942465025,-76.4681265006348,2
42.4381988714531,-76.4681147530098,1.99
42.4382034964025,-76.4681030053831,2.02
42.4382081213508,-76.4680912577546,2.01
42.4382127462978,-76.4680795101244,2.01
42.4382173712437,-76.4680677624924,2
42.4382219961884,-76.4680560148587,2.01
42.4382266211319,-76.4680442672232,1.99
42.4382312460742,-76.468032519586,2.01
42.4382358710154,-76.468020771947,1.98
42.4382404959553,-76.4680090243063,1.98
42.4382451208941,-76.4679972766638,1.98
42.4382497458317,-76.4679855290195,2.01
42.4382543707681,-76.4679737813736,2.01
42.4382589957034,-76.4679620337258,2.02
42.4382636206374,-76.4679502860763,2
42.4382538553775,-76.4679432789928,2
42.4382492304442,-76.4679550266411,2.03
42.4382446055097,-76.4679667742875,1.99
42.438239980574,-76.4679785219323,1.98
42.4382353556371,-76.4679902695752,1.94
42.438230730699,-76.4680020172164,1.95
42.4382261057598,-76.4680137648559,1.95
42.4382214808194,-76.4680255124936,1.98
42.4382168558778,-76.4680372601296,1.97
42.438212230935,-76.4680490077638,1.99
42.4382076059911,-76.4680607553962,1.97
42.4382029810459,-76.4680725030269,2
42.4381983560996,-76.4680842506559,1.98
42.4381937311521,-76.4680959982831,2
42.4381891062034,-76.4681077459085,1.98
42.4381844812536,-76.4681194935322,2
42.4381798563025,-76.4681312411542,2
42.4381700910538,-76.4681242340526,2
42.4381747160041,-76.4681124864319,1.98
42.4381793409533,-76.4681007388095,1.98
42.4381839659012,-76.4680889911853,2
42.438188590848,-76.4680772435594,2
42.4381932157936,-76.4680654959317,1.99
42.438197840738,-76.4680537483023,1.99
42.4382024656812,-76.4680420006711,2.01
42.4382070906233,-76.4680302530382,1.99
42.4382117155641,-76.4680185054035,2
42.4382163405038,-76.468006757767,1.97
42.4382209654423,-76.4679950101288,1.96
42.4382255903796,-76.4679832624889,1.96
42.4382302153158,-76.4679715148472,2.01
42.4382348402507,-76.4679597672037,2.03
42.4382394651845,-76.4679480195585,2.05
42.4382440901171,-76.4679362719116,2
42.4382343248562,-76.4679292648325,2
42.4382296999244,-76.4679410124782,2
42.4382250749913,-76.4679527601221,2
42.4382204500571,-76.4679645077643,1.99
42.4382158251217,-76.4679762554047,1.95
42.4382112001851,-76.4679880030434,1.92
42.4382065752473,-76.4679997506803,1.91
42.4382019503084,-76.4680114983155,1.93
42.4381973253682,-76.4680232459489,1.94
42.4381927004269,-76.4680349935806,1.96
42.4381880754844,-76.4680467412105,1.97
42.4381834505407,-76.4680584888387,1.96
42.4381788255959,-76.4680702364651,2
42.4381742006498,-76.4680819840897,2
42.4381695757026,-76.4680937317127,2
42.4381649507542,-76.4681054793338,1.97
42.4381603258046,-76.4681172269532,2
