Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379248.94,4699473.16,286.78,2,0,0,28,-76.4681365984303,42.4381834469783
"0001","00002",379249.9,4699473.67,286.8,1.99,0,0,28,-76.4681249615685,42.43818822309
"0001","00003",379250.87,4699474.18,286.83,1.99,0,0,28,-76.4681133247049,42.4381929992005
"0001","00004",379251.83,4699474.7,286.85,1.98,0,0,28,-76.4681016878395,42.4381977753099
"0001","00005",379252.8,4699475.21,286.87,2,0,0,28,-76.4680900509723,42.4382025514181
"0001","00006",379253.77,4699475.73,286.9,1.98,0,0,28,-76.4680784141033,42.4382073275252
"0001","00007",379254.73,4699476.24,286.92,1.99,0,0,28,-76.4680667772325,42.4382121036311
"0001","00008",379255.7,4699476.75,286.95,1.97,0,0,28,-76.4680551403599,42.4382168797359
"0001","00009",379256.67,4699477.27,286.97,1.98,0,0,28,-76.4680435034855,42.4382216558395
"0001","00010",379257.63,4699477.78,287,1.97,0,0,28,-76.4680318666093,42.4382264319419
"0001","00011",379258.6,4699478.3,287.02,1.97,0,0,28,-76.4680202297314,42.4382312080432
"0001","00012",379259.56,4699478.81,287.05,1.94,0,0,28,-76.4680085928516,42.4382359841434
"0001","00013",379260.53,4699479.32,287.07,1.96,0,0,28,-76.4679969559701,42.4382407602423
"0001","00014",379261.5,4699479.84,287.1,1.97,0,0,28,-76.4679853190868,42.4382455363401
"0001","00015",379262.46,4699480.35,287.12,2,0,0,28,-76.4679736822016,42.4382503124368
"0002","00030",379249.51,4699472.09,286.82,2,0,0,208,-76.4681294444117,42.4381738835525
"0002","00029",379250.47,4699472.6,286.85,1.98,0,0,208,-76.4681178075511,42.4381786596634
"0002","00028",379251.44,4699473.11,286.87,1.98,0,0,208,-76.4681061706887,42.4381834357733
"0002","00027",379252.4,4699473.63,286.9,1.99,0,0,208,-76.4680945338244,42.4381882118819
"0002","00026",379253.37,4699474.14,286.92,1.99,0,0,208,-76.4680828969584,42.4381929879894
"0002","00025",379254.34,4699474.65,286.94,1.98,0,0,208,-76.4680712600906,42.4381977640958
"0002","00024",379255.3,4699475.17,286.97,1.98,0,0,208,-76.468059623221,42.4382025402009
"0002","00023",379256.27,4699475.68,286.99,1.98,0,0,208,-76.4680479863496,42.438207316305
"0002","00022",379257.24,4699476.2,287.02,1.97,0,0,208,-76.4680363494764,42.4382120924078
"0002","00021",379258.2,4699476.71,287.04,1.96,0,0,208,-76.4680247126014,42.4382168685095
"0002","00020",379259.17,4699477.22,287.07,1.96,0,0,208,-76.4680130757246,42.4382216446101
"0002","00019",379260.13,4699477.74,287.09,1.92,0,0,208,-76.4680014388461,42.4382264207095
"0002","00018",379261.1,4699478.25,287.12,1.95,0,0,208,-76.4679898019657,42.4382311968077
"0002","00017",379262.07,4699478.76,287.14,1.96,0,0,208,-76.4679781650836,42.4382359729048
"0002","00016",379263.03,4699479.28,287.16,2,0,0,208,-76.4679665281996,42.4382407490007
"0003","00031",379250.08,4699471.01,286.86,2,0,0,28,-76.4681222903954,42.4381643201262
"0003","00032",379251.04,4699471.53,286.88,2.01,0,0,28,-76.4681106535359,42.4381690962365
"0003","00033",379252.01,4699472.04,286.91,2.01,0,0,28,-76.4680990166746,42.4381738723455
"0003","00034",379252.97,4699472.55,286.93,2.03,0,0,28,-76.4680873798116,42.4381786484535
"0003","00035",379253.94,4699473.07,286.96,2.02,0,0,28,-76.4680757429468,42.4381834245602
"0003","00036",379254.91,4699473.58,286.98,2.01,0,0,28,-76.4680641060801,42.4381882006658
"0003","00037",379255.87,4699474.1,287,2,0,0,28,-76.4680524692117,42.4381929767703
"0003","00038",379256.84,4699474.61,287.03,1.98,0,0,28,-76.4680408323415,42.4381977528735
"0003","00039",379257.81,4699475.12,287.05,1.99,0,0,28,-76.4680291954695,42.4382025289757
"0003","00040",379258.77,4699475.64,287.07,1.97,0,0,28,-76.4680175585957,42.4382073050766
"0003","00041",379259.74,4699476.15,287.1,1.96,0,0,28,-76.4680059217201,42.4382120811764
"0003","00042",379260.7,4699476.66,287.12,1.92,0,0,28,-76.4679942848427,42.4382168572751
"0003","00043",379261.67,4699477.18,287.14,1.94,0,0,28,-76.4679826479636,42.4382216333726
"0003","00044",379262.64,4699477.69,287.17,1.95,0,0,28,-76.4679710110826,42.4382264094689
"0003","00045",379263.6,4699478.21,287.19,2,0,0,28,-76.4679593741998,42.4382311855641
