latitude,longitude,altitude(m) 
42.4381834469783,-76.4681365984303,2
42.43818822309,-76.4681249615685,1.99
42.4381929992005,-76.4681133247049,1.99
42.4381977753099,-76.4681016878395,1.98
42.4382025514181,-76.4680900509723,2
42.4382073275252,-76.4680784141033,1.98
42.4382121036311,-76.4680667772325,1.99
42.4382168797359,-76.4680551403599,1.97
42.4382216558395,-76.4680435034855,1.98
42.4382264319419,-76.4680318666093,1.97
42.4382312080432,-76.4680202297314,1.97
42.4382359841434,-76.4680085928516,1.94
42.4382407602423,-76.4679969559701,1.96
42.4382455363401,-76.4679853190868,1.97
42.4382503124368,-76.4679736822016,2
42.4382407490007,-76.4679665281996,2
42.4382359729048,-76.4679781650836,1.96
42.4382311968077,-76.4679898019657,1.95
42.4382264207095,-76.4680014388461,1.92
42.4382216446101,-76.4680130757246,1.96
42.4382168685095,-76.4680247126014,1.96
42.4382120924078,-76.4680363494764,1.97
42.438207316305,-76.4680479863496,1.98
42.4382025402009,-76.468059623221,1.98
42.4381977640958,-76.4680712600906,1.98
42.4381929879894,-76.4680828969584,1.99
42.4381882118819,-76.4680945338244,1.99
42.4381834357733,-76.4681061706887,1.98
42.4381786596634,-76.4681178075511,1.98
42.4381738835525,-76.4681294444117,2
42.4381643201262,-76.4681222903954,2
42.4381690962365,-76.4681106535359,2.01
42.4381738723455,-76.4680990166746,2.01
42.4381786484535,-76.4680873798116,2.03
42.4381834245602,-76.4680757429468,2.02
42.4381882006658,-76.4680641060801,2.01
42.4381929767703,-76.4680524692117,2
42.4381977528735,-76.4680408323415,1.98
42.4382025289757,-76.4680291954695,1.99
42.4382073050766,-76.4680175585957,1.97
42.4382120811764,-76.4680059217201,1.96
42.4382168572751,-76.4679942848427,1.92
42.4382216333726,-76.4679826479636,1.94
42.4382264094689,-76.4679710110826,1.95
42.4382311855641,-76.4679593741998,2
