Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379250.62,4699476.61,286.79,2,0,0,24,-76.4681169023561,42.4382148285869
"0001","00002",379251.28,4699476.91,286.8,1.99,0,0,24,-76.4681088634827,42.4382176040556
"0001","00003",379251.95,4699477.21,286.82,2.04,0,0,24,-76.4681008246085,42.4382203795237
"0001","00004",379252.61,4699477.5,286.83,2.03,0,0,24,-76.4680927857336,42.4382231549912
"0001","00005",379253.28,4699477.8,286.85,1.99,0,0,24,-76.468084746858,42.4382259304582
"0001","00006",379253.95,4699478.1,286.87,2.05,0,0,24,-76.4680767079817,42.4382287059246
"0001","00007",379254.61,4699478.39,286.88,2.03,0,0,24,-76.4680686691046,42.4382314813905
"0001","00008",379255.28,4699478.69,286.9,1.99,0,0,24,-76.4680606302268,42.4382342568558
"0001","00009",379255.95,4699478.99,286.92,2.01,0,0,24,-76.4680525913483,42.4382370323206
"0001","00010",379256.61,4699479.28,286.93,2.01,0,0,24,-76.4680445524691,42.4382398077848
"0001","00011",379257.28,4699479.58,286.95,1.98,0,0,24,-76.4680365135891,42.4382425832484
"0001","00012",379257.95,4699479.88,286.96,2,0,0,24,-76.4680284747085,42.4382453587116
"0001","00013",379258.61,4699480.17,286.98,2.01,0,0,24,-76.4680204358271,42.4382481341741
"0001","00014",379259.28,4699480.47,287,1.96,0,0,24,-76.468012396945,42.4382509096361
"0001","00015",379259.95,4699480.77,287.01,1.97,0,0,24,-76.4680043580621,42.4382536850975
"0001","00016",379260.61,4699481.07,287.03,1.98,0,0,24,-76.4679963191786,42.4382564605584
"0001","00017",379261.28,4699481.36,287.05,1.98,0,0,24,-76.4679882802943,42.4382592360187
"0001","00018",379261.95,4699481.66,287.06,2,0,0,24,-76.4679802414093,42.4382620114785
"0001","00019",379262.61,4699481.96,287.08,1.99,0,0,24,-76.4679722025236,42.4382647869377
"0001","00020",379263.28,4699482.25,287.09,1.98,0,0,24,-76.4679641636371,42.4382675623964
"0001","00021",379263.95,4699482.55,287.11,2,0,0,24,-76.4679561247499,42.4382703378545
"0002","00042",379251.01,4699475.72,286.83,2,0,0,204,-76.4681118872867,42.4382068589707
"0002","00041",379251.68,4699476.02,286.85,2.04,0,0,204,-76.468103848414,42.438209634439
"0002","00040",379252.35,4699476.32,286.87,2.03,0,0,204,-76.4680958095407,42.4382124099067
"0002","00039",379253.01,4699476.61,286.89,1.99,0,0,204,-76.4680877706665,42.4382151853739
"0002","00038",379253.68,4699476.91,286.9,2.01,0,0,204,-76.4680797317917,42.4382179608405
"0002","00037",379254.35,4699477.21,286.92,2.03,0,0,204,-76.4680716929161,42.4382207363066
"0002","00036",379255.01,4699477.5,286.94,2,0,0,204,-76.4680636540399,42.4382235117721
"0002","00035",379255.68,4699477.8,286.96,2.02,0,0,204,-76.4680556151629,42.4382262872371
"0002","00034",379256.34,4699478.1,286.97,2.01,0,0,204,-76.4680475762851,42.4382290627015
"0002","00033",379257.01,4699478.39,286.99,1.99,0,0,204,-76.4680395374067,42.4382318381653
"0002","00032",379257.68,4699478.69,287.01,2.01,0,0,204,-76.4680314985275,42.4382346136286
"0002","00031",379258.34,4699478.99,287.03,1.98,0,0,204,-76.4680234596476,42.4382373890914
"0002","00030",379259.01,4699479.28,287.04,1.96,0,0,204,-76.468015420767,42.4382401645536
"0002","00029",379259.68,4699479.58,287.06,1.98,0,0,204,-76.4680073818857,42.4382429400152
"0002","00028",379260.34,4699479.88,287.08,1.97,0,0,204,-76.4679993430036,42.4382457154763
"0002","00027",379261.01,4699480.17,287.1,2,0,0,204,-76.4679913041208,42.4382484909368
"0002","00026",379261.68,4699480.47,287.11,2.02,0,0,204,-76.4679832652373,42.4382512663968
"0002","00025",379262.34,4699480.77,287.13,2.01,0,0,204,-76.4679752263531,42.4382540418562
"0002","00024",379263.01,4699481.06,287.15,2.02,0,0,204,-76.4679671874682,42.4382568173151
"0002","00023",379263.68,4699481.36,287.17,2.03,0,0,204,-76.4679591485825,42.4382595927734
"0002","00022",379264.34,4699481.66,287.18,2,0,0,204,-76.4679511096961,42.4382623682311
"0003","00043",379251.41,4699474.83,286.87,2,0,0,24,-76.4681068722186,42.4381988893543
"0003","00044",379252.08,4699475.13,286.89,2.01,0,0,24,-76.4680988333467,42.4382016648222
"0003","00045",379252.74,4699475.42,286.9,2.03,0,0,24,-76.4680907944741,42.4382044402895
"0003","00046",379253.41,4699475.72,286.92,2,0,0,24,-76.4680827556008,42.4382072157564
"0003","00047",379254.08,4699476.02,286.94,2,0,0,24,-76.4680747167267,42.4382099912226
"0003","00048",379254.74,4699476.31,286.95,2.02,0,0,24,-76.4680666778519,42.4382127666883
"0003","00049",379255.41,4699476.61,286.97,1.99,0,0,24,-76.4680586389764,42.4382155421535
"0003","00050",379256.08,4699476.91,286.99,1.98,0,0,24,-76.4680506001002,42.4382183176181
"0003","00051",379256.74,4699477.2,287,2.01,0,0,24,-76.4680425612232,42.4382210930821
"0003","00052",379257.41,4699477.5,287.02,1.99,0,0,24,-76.4680345223456,42.4382238685456
"0003","00053",379258.07,4699477.8,287.04,1.98,0,0,24,-76.4680264834672,42.4382266440086
"0003","00054",379258.74,4699478.09,287.05,2,0,0,24,-76.4680184445881,42.4382294194709
"0003","00055",379259.41,4699478.39,287.07,1.97,0,0,24,-76.4680104057082,42.4382321949328
"0003","00056",379260.07,4699478.69,287.09,1.95,0,0,24,-76.4680023668277,42.438234970394
"0003","00057",379260.74,4699478.98,287.1,1.97,0,0,24,-76.4679943279464,42.4382377458548
"0003","00058",379261.41,4699479.28,287.12,1.99,0,0,24,-76.4679862890644,42.4382405213149
"0003","00059",379262.07,4699479.58,287.14,1.98,0,0,24,-76.4679782501817,42.4382432967745
"0003","00060",379262.74,4699479.87,287.15,2,0,0,24,-76.4679702112982,42.4382460722336
"0003","00061",379263.41,4699480.17,287.17,2.02,0,0,24,-76.4679621724141,42.4382488476921
"0003","00062",379264.07,4699480.47,287.19,1.98,0,0,24,-76.4679541335292,42.43825162315
"0003","00063",379264.74,4699480.76,287.2,2,0,0,24,-76.4679460946436,42.4382543986074
"0004","00084",379251.81,4699473.94,286.89,2,0,0,204,-76.4681018571518,42.4381909197375
"0004","00083",379252.47,4699474.23,286.91,2.02,0,0,204,-76.4680938182807,42.4381936952051
"0004","00082",379253.14,4699474.53,286.93,2,0,0,204,-76.4680857794088,42.4381964706721
"0004","00081",379253.81,4699474.83,286.95,2.02,0,0,204,-76.4680777405363,42.4381992461386
"0004","00080",379254.47,4699475.12,286.97,2.03,0,0,204,-76.468069701663,42.4382020216045
"0004","00079",379255.14,4699475.42,286.99,2,0,0,204,-76.468061662789,42.4382047970698
"0004","00078",379255.81,4699475.72,287.01,2.02,0,0,204,-76.4680536239143,42.4382075725346
"0004","00077",379256.47,4699476.01,287.03,2.03,0,0,204,-76.4680455850388,42.4382103479989
"0004","00076",379257.14,4699476.31,287.05,2,0,0,204,-76.4680375461626,42.4382131234625
"0004","00075",379257.81,4699476.61,287.07,2.02,0,0,204,-76.4680295072858,42.4382158989257
"0004","00074",379258.47,4699476.91,287.09,2.01,0,0,204,-76.4680214684082,42.4382186743882
"0004","00073",379259.14,4699477.2,287.11,1.99,0,0,204,-76.4680134295298,42.4382214498503
"0004","00072",379259.81,4699477.5,287.12,2.01,0,0,204,-76.4680053906507,42.4382242253117
"0004","00071",379260.47,4699477.8,287.14,1.97,0,0,204,-76.467997351771,42.4382270007726
"0004","00070",379261.14,4699478.09,287.16,2,0,0,204,-76.4679893128905,42.438229776233
"0004","00069",379261.8,4699478.39,287.18,2.02,0,0,204,-76.4679812740092,42.4382325516928
"0004","00068",379262.47,4699478.69,287.2,2.02,0,0,204,-76.4679732351273,42.4382353271521
"0004","00067",379263.14,4699478.98,287.22,2.03,0,0,204,-76.4679651962446,42.4382381026108
"0004","00066",379263.8,4699479.28,287.24,2.07,0,0,204,-76.4679571573613,42.4382408780689
"0004","00065",379264.47,4699479.58,287.26,2.06,0,0,204,-76.4679491184771,42.4382436535265
"0004","00064",379265.14,4699479.87,287.28,2,0,0,204,-76.4679410795923,42.4382464289835
"0005","00085",379252.2,4699473.05,286.9,2,0,0,24,-76.4680968420863,42.4381829501206
"0005","00086",379252.87,4699473.34,286.92,2.02,0,0,24,-76.4680888032159,42.4381857255878
"0005","00087",379253.54,4699473.64,286.94,2.01,0,0,24,-76.4680807643449,42.4381885010544
"0005","00088",379254.2,4699473.94,286.96,2,0,0,24,-76.4680727254731,42.4381912765205
"0005","00089",379254.87,4699474.23,286.98,2.01,0,0,24,-76.4680646866006,42.4381940519861
"0005","00090",379255.54,4699474.53,287,1.99,0,0,24,-76.4680566477274,42.4381968274511
"0005","00091",379256.2,4699474.83,287.02,1.98,0,0,24,-76.4680486088534,42.4381996029155
"0005","00092",379256.87,4699475.12,287.04,2.02,0,0,24,-76.4680405699787,42.4382023783794
"0005","00093",379257.54,4699475.42,287.06,2,0,0,24,-76.4680325311033,42.4382051538427
"0005","00094",379258.2,4699475.72,287.07,1.97,0,0,24,-76.4680244922272,42.4382079293055
"0005","00095",379258.87,4699476.01,287.09,2.01,0,0,24,-76.4680164533504,42.4382107047677
"0005","00096",379259.54,4699476.31,287.11,1.98,0,0,24,-76.4680084144728,42.4382134802293
"0005","00097",379260.2,4699476.61,287.13,1.93,0,0,24,-76.4680003755946,42.4382162556904
"0005","00098",379260.87,4699476.9,287.15,1.95,0,0,24,-76.4679923367156,42.438219031151
"0005","00099",379261.54,4699477.2,287.17,1.96,0,0,24,-76.4679842978359,42.438221806611
"0005","00100",379262.2,4699477.5,287.19,1.97,0,0,24,-76.4679762589554,42.4382245820704
"0005","00101",379262.87,4699477.79,287.21,1.99,0,0,24,-76.4679682200742,42.4382273575293
"0005","00102",379263.53,4699478.09,287.23,2.04,0,0,24,-76.4679601811923,42.4382301329877
"0005","00103",379264.2,4699478.39,287.24,2.02,0,0,24,-76.4679521423097,42.4382329084455
"0005","00104",379264.87,4699478.68,287.26,2.04,0,0,24,-76.4679441034264,42.4382356839027
"0005","00105",379265.53,4699478.98,287.28,2,0,0,24,-76.4679360645423,42.4382384593593
"0006","00126",379252.6,4699472.15,286.9,2,0,0,204,-76.468091827022,42.4381749805033
"0006","00125",379253.27,4699472.45,286.92,2.01,0,0,204,-76.4680837881525,42.4381777559702
"0006","00124",379253.93,4699472.75,286.94,2.03,0,0,204,-76.4680757492822,42.4381805314365
